date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:27:36	25301/25301	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:36:49%20GMT	https://grandetest.com/theme/jobhunt-html/employer_packages.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/employer_packages.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:37	31912/31912	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2011:28:31%20GMT	https://grandetest.com/theme/jobhunt-html/employer_post_new.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/employer_post_new.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:38	31105/31105	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:36:40%20GMT	https://grandetest.com/theme/jobhunt-html/employer_profile.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/employer_profile.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:41	30548/30548	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:36:30%20GMT	https://grandetest.com/theme/jobhunt-html/employer_resume.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/employer_resume.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:41	25176/25176	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:35:47%20GMT	https://grandetest.com/theme/jobhunt-html/employer_transactions.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/employer_transactions.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:41	24706/24706	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:37:59%20GMT	https://grandetest.com/theme/jobhunt-html/employer_job_alert.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/employer_job_alert.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:41	23278/23278	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:38:08%20GMT	https://grandetest.com/theme/jobhunt-html/employer_change_password.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/employer_change_password.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:43	32372/32372	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:39:56%20GMT	https://grandetest.com/theme/jobhunt-html/candidates_list.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/candidates_list.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:44	31656/31656	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Apr%202019%2007:46:18%20GMT	https://grandetest.com/theme/jobhunt-html/candidates_list2.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/candidates_list2.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
12:27:44	31696/31696	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202019%2007:39:36%20GMT	https://grandetest.com/theme/jobhunt-html/candidates_list3.html	C:/My%20Web%20Sites/jobtemplate%20niveau%20trois/grandetest.com/theme/jobhunt-html/candidates_list3.html	(from https://grandetest.com/theme/jobhunt-html/index5.html)
